"id","allLetter","area","firstLetter","onlineTime","peopleNumber","platId","platName","proTime","problemTime","regCapital","status1","status2","type"
"77","lidaiwang","浙江","ldw1","2013-03-28 00:00:00","0","2241","立贷网","2013-10","2013-10-02 00:00:00","200","0","0","提现困难"
"78","tianlidai","湖北","tld","2013-04-01 00:00:00","0","2240","天力贷","2013-09","2013-09-25 00:00:00","2000","0","0","提现困难"
"79","hubangdai","江苏","hbd2","2013-08-20 00:00:00","0","234","互帮贷","2013-09","2013-09-22 00:00:00","500","0","0","提现困难"
"80","huangshanziben","安徽","hszb","2013-08-06 00:00:00","0","2239","黄山资本","2013-09","2013-09-04 00:00:00","500","0","0","停业"
"81","daxintouzi","重庆","dxtz","2013-05-08 00:00:00","0","5039","达信投资","2013-09","2013-09-01 00:00:00","100","0","1","停业"
"82","caifuyuan","广东","cfy","2013-03-01 00:00:00","0","2237","财富园","2013-08","2013-08-10 00:00:00","500","0","0","停业"
"83","wangyingtianxia","广东","wytx","2013-03-01 00:00:00","0","160","网赢天下","2013-08","2013-08-01 00:00:00","2000","0","0","提现困难"
"84","zhongcaizaixian","湖北","zczx","2012-09-12 00:00:00","0","115","中财在线","2013-07","2013-07-01 00:00:00","501","0","0","提现困难"
"85","minliandai","湖北","mld","2013-03-20 00:00:00","0","2236","民联贷","2013-07","2013-07-01 00:00:00","600","0","0","提现困难"
"86","huizhoudai","安徽","hzd","2013-02-05 00:00:00","0","2232","徽州贷","2013-06","2013-06-19 00:00:00","500","0","0","提现困难"
"87","feichengwudai","浙江","fcwd","2011-10-13 00:00:00","0","2230","非诚勿贷","2013-06","2013-06-01 00:00:00","0","0","0","提现困难"
"88","kupaojinrong","浙江","kpjr","2013-05-15 00:00:00","0","2295","酷跑金融","2013-05","2013-05-15 00:00:00","10","0","0","跑路"
"89","chengxiangdai","天津","cxd","2013-01-01 00:00:00","0","2294","城乡贷","2013-04","2013-04-10 00:00:00","0","0","0","停业"
"90","zhongdaiwang","海南","zdw","2013-03-01 00:00:00","0","2293","众贷网","2013-04","2013-04-02 00:00:00","0","0","0","停业"
"91","shenzhouyidai","山东","szyd","2013-09-09 00:00:00","0","975","神州易贷","2014-12","2014-12-30 00:00:00","1500","0","0","提现困难"
"92","ruichangcaifu","山东","rccf1","2014-11-28 00:00:00","0","3176","锐畅易贷","2014-12","2014-12-30 00:00:00","1500","0","0","提现困难"
"93","hongrunhengye","广东","hrhye","2014-04-01 00:00:00","0","3771","泓润恒业","2014-12","2014-12-30 00:00:00","1000","0","0","提现困难"
"94","longyuanjinrong","山东","lyjr1","2014-09-15 00:00:00","0","3188","龙源金融","2014-12","2014-12-29 00:00:00","2018","0","0","停业"
"95","fujianrongguangtong","福建","fjrgt","2014-10-08 00:00:00","0","6032","福建融广通","2014-12","2014-12-29 00:00:00","1000","0","1","停业"
"96","kuaisudai","广东","ksd1","2012-07-07 00:00:00","0","100","快速贷","2014-12","2014-12-29 00:00:00","3000","0","0","提现困难"
"97","huifengchuangtou","湖南","hfct","2013-12-26 00:00:00","0","423","汇丰创投","2014-12","2014-12-29 00:00:00","5000","0","0","提现困难"
"98","shengdachuangtou","山东","sdct","2014-12-01 00:00:00","0","3181","圣达创投","2014-12","2014-12-29 00:00:00","1200","0","0","提现困难"
"99","yongxincaifu","陕西","yxcf","2014-11-15 00:00:00","0","3183","永信财富","2014-12","2014-12-29 00:00:00","1000","0","0","提现困难"
"100","huaxiaxin","江苏","hxx","2014-08-25 00:00:00","0","3186","华夏信","2014-12","2014-12-29 00:00:00","1000","0","0","提现困难"
"101","huangshundai2","山东","hsd2","2014-11-30 00:00:00","0","3182","皇顺贷","2014-12","2014-12-29 00:00:00","1500","0","0","跑路"
"102","daidaitong2","四川","ddt2","2014-09-06 00:00:00","0","3223","贷贷通（蜀）","2014-12","2014-12-29 00:00:00","2000","0","0","跑路"
"103","caifuguangyu","北京","cfgy","2014-08-06 00:00:00","0","3194","财富广域","2014-12","2014-12-28 00:00:00","5500","0","0","提现困难"
"104","jichuzaixian","山东","jczx","2013-04-22 00:00:00","0","140","积储在线","2014-12","2014-12-27 00:00:00","5000","0","0","提现困难"
"105","yuanbencaifu2","浙江","ybcf2","2013-08-26 00:00:00","0","5882","源本财富","2014-12","2014-12-27 00:00:00","10000","0","0","跑路"
"106","xinwangdacaifu","浙江","xwdcf","2014-11-21 00:00:00","0","3189","欣旺达财富","2014-12","2014-12-26 00:00:00","5000","0","0","提现困难"
