"id","date","toPay10","toReceive10","wdzjPlatId"
"393","2017-03-31","1.96","5.34","211"
"394","2017-04-30","1.99","4.78","211"
"395","2017-05-31","2.25","4.94","211"
"396","2017-06-30","2.29","5.02","211"
"397","2016-07-31","28.98","85.82","4005"
"398","2016-08-31","18.44","59.72","4005"
"399","2016-09-30","12.40","29.51","4005"
"400","2016-10-31","18.87","17.76","4005"
"401","2016-11-30","17.83","14.85","4005"
"402","2016-12-31","14.00","13.78","4005"
"403","2017-01-31","10.95","21.06","4005"
"404","2017-02-28","8.45","24.56","4005"
"405","2017-03-31","7.94","34.17","4005"
"406","2017-04-30","8.18","57.21","4005"
"407","2017-05-31","6.92","20.44","4005"
"408","2017-06-30","6.75","18.47","4005"
"409","2016-07-31","25.58","21.86","2674"
"410","2016-08-31","26.45","18.23","2674"
"411","2016-09-30","27.56","20.68","2674"
"412","2016-10-31","16.53","17.46","2674"
"413","2016-11-30","13.61","8.20","2674"
"414","2016-12-31","13.55","5.00","2674"
"415","2017-01-31","12.70","4.98","2674"
"416","2017-02-28","10.81","3.69","2674"
"417","2017-03-31","7.31","2.81","2674"
"418","2017-04-30","7.64","3.30","2674"
"419","2017-05-31","4.83","2.04","2674"
"420","2017-06-30","5.15","2.81","2674"
"421","2016-07-31","8.86","18.31","1195"
"422","2016-08-31","6.95","17.75","1195"
"423","2016-09-30","13.76","18.73","1195"
"424","2016-10-31","30.50","25.72","1195"
"425","2016-11-30","45.40","25.03","1195"
"426","2016-12-31","59.32","20.56","1195"
"427","2017-01-31","59.94","17.60","1195"
"428","2017-02-28","59.93","18.35","1195"
"429","2017-03-31","60.82","18.70","1195"
"430","2017-04-30","61.27","17.60","1195"
"431","2017-05-31","58.67","16.59","1195"
"432","2017-06-30","56.65","15.98","1195"
"433","2016-07-31","9.48","57.30","854"
"434","2016-08-31","9.89","59.40","854"
"435","2016-09-30","12.75","60.70","854"
"436","2016-10-31","17.22","65.80","854"
"437","2016-11-30","18.88","68.72","854"
"438","2016-12-31","19.01","69.61","854"
"439","2017-01-31","19.67","69.00","854"
"440","2017-02-28","19.45","69.60","854"
"441","2017-03-31","22.80","73.99","854"
"442","2017-04-30","27.43","77.59","854"
"443","2017-05-31","15.34","70.56","854"
"444","2017-06-30","11.36","70.68","854"
"445","2016-07-31","15.44","33.55","1190"
"446","2016-08-31","14.51","34.84","1190"
"447","2016-09-30","13.44","38.02","1190"
"448","2016-10-31","12.03","38.24","1190"
"449","2016-11-30","14.83","43.77","1190"
"450","2016-12-31","14.26","40.94","1190"
