"id","actualCapital","aliasName","association","associationDetail","autoBid","autoBidCode","bankCapital","bankFunds","bidSecurity","bindingFlag","businessType","companyName","credit","creditLevel","delayScore","delayScoreDetail","displayFlg","drawScore","drawScoreDetail","equityVoList","experienceScore","experienceScoreDetail","fundCapital","gjlhhFlag","gjlhhTime","gruarantee","inspection","juridicalPerson","locationArea","locationAreaName","locationCity","locationCityName","manageExpense","manageExpenseDetail","newTrustCreditor","newTrustCreditorCode","officeAddress","onlineDate","payment","paymode","platBackground","platBackgroundDetail","platBackgroundDetailExpand","platBackgroundExpand","platEarnings","platEarningsCode","platName","platStatus","platUrl","problem","problemTime","recordId","recordLicId","registeredCapital","riskCapital","riskFunds","riskReserve","riskcontrol","securityModel","securityModelCode","securityModelOther","serviceScore","serviceScoreDetail","startInvestmentAmout","term","termCodes","termWeight","transferExpense","transferExpenseDetail","trustCapital","trustCreditor","trustCreditorMonth","trustFunds","tzjPj","vipExpense","withTzj","withdrawExpense","platId"
"2299","1000.00","E贷网","0","","不支持","0","","0","保本保息","1","车贷(40%)、房贷(40%)、供应链金融(20%)","深圳市天天贷金融服务有限公司","0","","","","1","","","","","","","0","","","0","	吴新根","44","广东","4403","深圳","","","不可转让","5","","2014-09-01","","","0","","","0","","0.0","E贷网","3","http://www.edp2p.com/front/index/indexPa","1","2016-05-01","粤ICP备14069968号-1  ","","1000.0","","0","0.0","0","小贷公司","1","","","","","","","0.0","","","","","0","","","","0","","4294"
"2300","0.00","润锦众成","0","","不支持","0","","0","-","0","","润锦众成","0","","","","1","","","","","","","0","","","0","陈碧","50","重庆","5003","渝中","","","不可转让","5","深圳市福田区车公庙天安创新科技广场B1407-25","2013-10-22","","","2","民营系","民营系","2","15.0","15.0","润锦众成","5","http://www.rjp2p.com","1","2016-05-01","粤ICP备13069146号","","1000.0","","0","0.0","0","","","","","","","","","0.0","","","","","0","0","","","0","","412"
"2301","600.00","天昊财富","0","","不支持","0","","0","VIP保本保息","1","个人信贷(10%)、车贷(80%)、房贷(10%)","潍坊天昊投资有限公司","0","","3.0","一周内","1","2.5","两三天内","","2.0","不满意","","0","","","0","周显朋","37","山东","3707","潍坊","暂免","","","0","山东省潍坊市高新区金马路以西北宫东街以北新华苑小区综合办公楼（南区）5-19 ","2014-12-29","1,2,3","借记卡网付,信用卡网付,线下充值(有奖励)","2","民营系","民营系","2","20.0","20.0","天昊财富","5","http://www.wfthcf.com","1","2016-05-01","鲁ICP备14033657号-1 ","","600.0","","0","20.0","0","小贷公司、融资性担保公司、平台垫付、风险准备金(20.0万元)","1,2,4,02","","2.5","一般","","1月标(100%)","2","1.0","","","","","0","0","","暂免一年","0","15天之内千分之3的手续费","1663"
"2302","1100.00","金帝财富","0","","支持","1","","0","VIP保本保息","1","个人信贷(10%)、车贷(80%)、房贷(10%)","临沂金帝投资管理有限公司 ","0","","","","1","","","","","","","0","","","0","李兴阳","37","山东","3713","临沂","投资人免费(借款人一月标收取借款金额的5％二月标收取借款金额的6％三月标收取借款金额的7％)","借款人一月标收取借款金额的5％二月标收取借款金额的6％三月标收取借款金额的7％","不可转让","5","山东省临沂市兰山区聚财五路20号","2015-05-05","1,2,3","借记卡网付,信用卡网付,线下充值(有奖励)","2","民营系","民营系","2","18.0","18.0","金帝财富","5","http://www.jindicf.com","1","2016-05-01","鲁ICP备14036357号-2 ","","1100.0","","0","0.0","0","平台垫付","4","","","","","1月标(80%)、2月标(20%)","2,3","1.2","无(无)","无","","","0","0","","150元/年(金帝财富对所有VIP用户实行本息保障；对普通用户实行本金保障；新上线期间VIP免费申请。)","0","免费(周一至周六上午9:00，下午3:00集中处理提现（周六不处理线上充值、提现）。上午9:00申请则下午3:00处理，下午3:00申请则次日上午9:00处理。周日、国家法定节假日不处理（节假日内提现的提前申请处理）。提现最低金额100元起，单笔最高5万元，当日提现最高额30万元。)","2116"
"2303","0.00","恒硕金融","0","","不支持","0","","0","VIP保本保息","1","车贷(100%)","济南硕清金融后台服务外包有限公司","0","","","","1","","","","","","","0","","","0","乔栋","37","山东","3701","济南","","","","0","山东省济南市泉城路180号齐鲁国际大厦B7-07室","2015-09-14","","","0","","","0","18.0","18.0","恒硕金融","5","http://www.hengshuojinrong.com","1","2016-05-01","鲁ICP备15030381号","","800.0","","0","300.0","0","风险准备金(300.0万元)","02","","","","","","","0.0","","","","","0","0","","","0","","3479"
"2304","0.00","鼎鑫资本","0","","","","","0","-","0","","邹城市鼎鑫网络科技有限公司","0","","","","1","","","","","","","0","","","0","张清生","37","山东","3708","济宁","","","","0","","2016-01-07","","","0","","","0","","0.0","鼎鑫资本","5","http://www.dingxinziben.com/","1","2016-05-01","鲁ICP备15039213号-1","","5000.0","","0","0.0","0","","","","","","","","","0.0","","","","","0","","","","0","","4517"
"2305","0.00","吉来宝","0","","不支持","0","","0","第三方债权保障","1","个人信贷(100%)","深圳前海吉来宝信息技术有限公司","0","","4.3","三天内","1","2.7","两三天内","","3.7","满意","","0","","","0","苏君涛","44","广东","4403","深圳","免费","","不可转让","5","深圳市南山区海天一路19号软件产业基地4栋A座","2015-11-11","1","借记卡网付","2","民营系","民营系","2","9.5","9.5","吉来宝","2","https://www.jilaibao.com","1","2016-04-30","粤ICP备14079718号-1","","5000.0","","0","0.0","0","","","","4.3","满意","","","","0.0","","","","","0","","","","0","免费","4053"
"2306","10000.00","盛金所","0","","不支持","0","","0","资产管理公司兜底","1","","深圳市盛金创富互联网金融服务有限公司","0","","4.0","三天内","1","2.0","两三天内","","4.0","满意","","0","","","0","姚娟英","44","广东","4403","深圳","免费(平台初期全免)","平台初期全免","随时","1","深圳市福田区华富路中航中心32楼","2015-03-04","1","借记卡网付","2","民营系","民营系","2","9.5","9.5","盛金所","2","http://www.skingfax.com","1","2016-04-29","粤ICP备15003861号-1","","10000.0","","0","0.0","0","","","","5.0","很满意","","3月标(50.0%)、4-6月标(30.0%)","2,3,4,5","3.3","","","","","0","","","","0","免费(平台初期全免)","2151"
"2307","0.00","瑞城财富","0","","","","","0","-","0","","南京瑞城金融信息服务有限公司","0","","","","1","","","","","","","0","","","0","杨龙","32","江苏","3201","南京","","","","0","江苏省南京市广州路191号五环大厦2层","2014-04-29","","","0","","","0","","0.0","瑞城财富","2","http://www.rcjrw.com","1","2016-04-29","苏ICP备14046610号-1 ","","1000.0","","0","0.0","0","","","","","","","","","0.0","","","","","0","","","","0","","3234"
"2308","0.00","支点金融","0","","支持","1","","0","100％保本保息","1","房贷(70%)、","新疆支点金融信息服务有限公司","0","","4.4","三天内","1","4.4","四小时内","","4.7","很满意","","0","","","0","袁江红","65","新疆","6501","乌鲁木齐","每笔收益10％(平台收取用户每笔收益的10％作为管理费)","平台收取用户每笔收益的10％作为管理费","2个月","0","新疆乌鲁木齐市天山区红山路16号时代广场C座32E","2015-11-06","1","借记卡网付","2","民营系","民营系","2","12.0","12.0","支点金融","2","http://www.zhidianp2p.cn/","1","2016-04-29","新ICP备15002913号-1","","5000.0","","0","0.0","0","小贷公司、典当行","1,01","典当行","4.7","很满意","","1月标(60.0%)、4-6月标(20.0%)","2,4,5","2.2","1％(投资人对自己的债权进行转让时，平台将收取1％的债权转让费作为平台的服务费用。)","投资人对自己的债权进行转让时，平台将收取1％的债权转让费作为平台的服务费用。","易宝支付","","2","1","","","0","T+1:2元T+0:金额×0.05％(T+0模式提现金额小于4000元，每笔2元作为手续费，大于4000元收取提现金额的0.05％作为提现手续费，企业每笔10元。（当日14:00前申请提现）T+1到帐机制：发起提现后的第二个工作日到帐，工作日不包括周六日及法定节假日，手续费每笔两元，企业每笔10元。)","3380"
